nom_liste;nuance;voix;Annee;Election;Tour;Inscrits;Votants;Exprimes;Participation;Region;Code;Clef;Date
;FN;278407;2017;Presidentielles;2;761780;563149;502951;0.6602313003754364;Provence-Alpes-Cote d'Azur;93;Presidentielles22017;07/05/2017
;FG;224544;2017;Presidentielles;2;761780;563149;502951;0.6602313003754364;Provence-Alpes-Cote d'Azur;93;Presidentielles22017;07/05/2017
;LR;266724;2017;Presidentielles;2;794665;592642;524493;0.660017743325804;Provence-Alpes-Cote d'Azur;93;Presidentielles22017;07/05/2017
;ECO;257769;2017;Presidentielles;2;794665;592642;524493;0.660017743325804;Provence-Alpes-Cote d'Azur;93;Presidentielles22017;07/05/2017
;LDVD;519335;2017;Presidentielles;2;1370057;1006037;897791;0.655294633726918;Provence-Alpes-Cote d'Azur;93;Presidentielles22017;07/05/2017
;LDIV;378456;2017;Presidentielles;2;1370057;1006037;897791;0.655294633726918;Provence-Alpes-Cote d'Azur;93;Presidentielles22017;07/05/2017
;;31139;2017;Presidentielles;2;108760;70248;61554;0.565961750643619;Corse;94;Presidentielles22017;07/05/2017
;;30415;2017;Presidentielles;2;108760;70248;61554;0.565961750643619;Corse;94;Presidentielles22017;07/05/2017
;;35680;2017;Presidentielles;2;124873;79234;68247;0.5465312757761887;Corse;94;Presidentielles22017;07/05/2017
;;32567;2017;Presidentielles;2;124873;79234;68247;0.5465312757761887;Corse;94;Presidentielles22017;07/05/2017
